"credit_id","actual","feature","class","shap_value"
111235,"Clean Paid Off","w60d_days_since_last_payment","Clean Paid Off",0.00179166666666668
111235,"Clean Paid Off","w60d_days_since_last_payment","Paid Off After Delinquency",-0.00258333333333333
111235,"Clean Paid Off","w60d_days_since_last_payment","Written Off",0
111235,"Clean Paid Off","w60d_days_since_last_payment","Sold",0.000791666666666667
111235,"Clean Paid Off","w60d_days_since_last_payment","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_payment_gap","Clean Paid Off",0
111235,"Clean Paid Off","w60d_payment_gap","Paid Off After Delinquency",0
111235,"Clean Paid Off","w60d_payment_gap","Written Off",0
111235,"Clean Paid Off","w60d_payment_gap","Sold",0
111235,"Clean Paid Off","w60d_payment_gap","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_payment_count","Clean Paid Off",0
111235,"Clean Paid Off","w60d_payment_count","Paid Off After Delinquency",0
111235,"Clean Paid Off","w60d_payment_count","Written Off",0
111235,"Clean Paid Off","w60d_payment_count","Sold",0
111235,"Clean Paid Off","w60d_payment_count","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_principal_paid","Clean Paid Off",-0.00904166666666667
111235,"Clean Paid Off","w60d_principal_paid","Paid Off After Delinquency",0.00904166666666667
111235,"Clean Paid Off","w60d_principal_paid","Written Off",0
111235,"Clean Paid Off","w60d_principal_paid","Sold",0
111235,"Clean Paid Off","w60d_principal_paid","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_payment_total","Clean Paid Off",0.00716666666666668
111235,"Clean Paid Off","w60d_payment_total","Paid Off After Delinquency",-0.0045
111235,"Clean Paid Off","w60d_payment_total","Written Off",0
111235,"Clean Paid Off","w60d_payment_total","Sold",-0.00266666666666667
111235,"Clean Paid Off","w60d_payment_total","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_admin_fee_paid","Clean Paid Off",0.0110833333333333
111235,"Clean Paid Off","w60d_admin_fee_paid","Paid Off After Delinquency",-0.012375
111235,"Clean Paid Off","w60d_admin_fee_paid","Written Off",0.000375
111235,"Clean Paid Off","w60d_admin_fee_paid","Sold",0.000916666666666667
111235,"Clean Paid Off","w60d_admin_fee_paid","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_interest_paid","Clean Paid Off",0.00654166666666668
111235,"Clean Paid Off","w60d_interest_paid","Paid Off After Delinquency",-0.0085
111235,"Clean Paid Off","w60d_interest_paid","Written Off",-0.000291666666666667
111235,"Clean Paid Off","w60d_interest_paid","Sold",0.00225
111235,"Clean Paid Off","w60d_interest_paid","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_total_paid_to_due_ratio","Clean Paid Off",0
111235,"Clean Paid Off","w60d_total_paid_to_due_ratio","Paid Off After Delinquency",0
111235,"Clean Paid Off","w60d_total_paid_to_due_ratio","Written Off",0
111235,"Clean Paid Off","w60d_total_paid_to_due_ratio","Sold",0
111235,"Clean Paid Off","w60d_total_paid_to_due_ratio","Other Terminal / Special Closure",0
111235,"Clean Paid Off","loan_administrative_fee","Clean Paid Off",0.00162500000000001
111235,"Clean Paid Off","loan_administrative_fee","Paid Off After Delinquency",-0.001625
111235,"Clean Paid Off","loan_administrative_fee","Written Off",0
111235,"Clean Paid Off","loan_administrative_fee","Sold",0
111235,"Clean Paid Off","loan_administrative_fee","Other Terminal / Special Closure",0
111235,"Clean Paid Off","contract_charge_rate","Clean Paid Off",-0.024
111235,"Clean Paid Off","contract_charge_rate","Paid Off After Delinquency",0.01925
111235,"Clean Paid Off","contract_charge_rate","Written Off",0
111235,"Clean Paid Off","contract_charge_rate","Sold",0.00475
111235,"Clean Paid Off","contract_charge_rate","Other Terminal / Special Closure",0
111235,"Clean Paid Off","loan_charge","Clean Paid Off",0.00845833333333334
111235,"Clean Paid Off","loan_charge","Paid Off After Delinquency",-0.009625
111235,"Clean Paid Off","loan_charge","Written Off",0
111235,"Clean Paid Off","loan_charge","Sold",0.00116666666666667
111235,"Clean Paid Off","loan_charge","Other Terminal / Special Closure",0
111235,"Clean Paid Off","contract_amount_per_day","Clean Paid Off",0.0187916666666667
111235,"Clean Paid Off","contract_amount_per_day","Paid Off After Delinquency",-0.019
111235,"Clean Paid Off","contract_amount_per_day","Written Off",0
111235,"Clean Paid Off","contract_amount_per_day","Sold",0.000208333333333333
111235,"Clean Paid Off","contract_amount_per_day","Other Terminal / Special Closure",0
111235,"Clean Paid Off","loan_interest","Clean Paid Off",-0.0154583333333333
111235,"Clean Paid Off","loan_interest","Paid Off After Delinquency",0.015125
111235,"Clean Paid Off","loan_interest","Written Off",0
111235,"Clean Paid Off","loan_interest","Sold",0.000333333333333334
111235,"Clean Paid Off","loan_interest","Other Terminal / Special Closure",0
111235,"Clean Paid Off","contract_charge_per_day","Clean Paid Off",-0.0175833333333333
111235,"Clean Paid Off","contract_charge_per_day","Paid Off After Delinquency",0.0220833333333333
111235,"Clean Paid Off","contract_charge_per_day","Written Off",-0.00154166666666667
111235,"Clean Paid Off","contract_charge_per_day","Sold",-0.00295833333333333
111235,"Clean Paid Off","contract_charge_per_day","Other Terminal / Special Closure",0
111235,"Clean Paid Off","w60d_scheduled_due_interest","Clean Paid Off",0.003875
111235,"Clean Paid Off","w60d_scheduled_due_interest","Paid Off After Delinquency",-4.16666666666695e-05
111235,"Clean Paid Off","w60d_scheduled_due_interest","Written Off",-0.00366666666666667
111235,"Clean Paid Off","w60d_scheduled_due_interest","Sold",-0.000166666666666667
111235,"Clean Paid Off","w60d_scheduled_due_interest","Other Terminal / Special Closure",0
111235,"Clean Paid Off","loan_amount","Clean Paid Off",0.00362500000000001
111235,"Clean Paid Off","loan_amount","Paid Off After Delinquency",-0.00454166666666667
111235,"Clean Paid Off","loan_amount","Written Off",0
111235,"Clean Paid Off","loan_amount","Sold",0.000916666666666667
111235,"Clean Paid Off","loan_amount","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_late_fee_paid","Clean Paid Off",0
172029,"Clean Paid Off","w60d_late_fee_paid","Paid Off After Delinquency",0
172029,"Clean Paid Off","w60d_late_fee_paid","Written Off",0
172029,"Clean Paid Off","w60d_late_fee_paid","Sold",0
172029,"Clean Paid Off","w60d_late_fee_paid","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_days_to_first_payment","Clean Paid Off",0.092125
172029,"Clean Paid Off","w60d_days_to_first_payment","Paid Off After Delinquency",-0.0913333333333333
172029,"Clean Paid Off","w60d_days_to_first_payment","Written Off",-4.16666666666666e-05
172029,"Clean Paid Off","w60d_days_to_first_payment","Sold",-0.00075
172029,"Clean Paid Off","w60d_days_to_first_payment","Other Terminal / Special Closure",0
172029,"Clean Paid Off","customer_category_id","Clean Paid Off",-0.072125
172029,"Clean Paid Off","customer_category_id","Paid Off After Delinquency",0.05475
172029,"Clean Paid Off","customer_category_id","Written Off",0.004
172029,"Clean Paid Off","customer_category_id","Sold",0.013375
172029,"Clean Paid Off","customer_category_id","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_principal_recovery_rate","Clean Paid Off",-0.038375
172029,"Clean Paid Off","w60d_principal_recovery_rate","Paid Off After Delinquency",0.0311666666666667
172029,"Clean Paid Off","w60d_principal_recovery_rate","Written Off",0.002625
172029,"Clean Paid Off","w60d_principal_recovery_rate","Sold",0.00458333333333334
172029,"Clean Paid Off","w60d_principal_recovery_rate","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_days_since_last_payment","Clean Paid Off",-0.0339166666666667
172029,"Clean Paid Off","w60d_days_since_last_payment","Paid Off After Delinquency",0.0286666666666667
172029,"Clean Paid Off","w60d_days_since_last_payment","Written Off",0
172029,"Clean Paid Off","w60d_days_since_last_payment","Sold",0.00525
172029,"Clean Paid Off","w60d_days_since_last_payment","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_payment_gap","Clean Paid Off",-0.033875
172029,"Clean Paid Off","w60d_payment_gap","Paid Off After Delinquency",0.0450833333333333
172029,"Clean Paid Off","w60d_payment_gap","Written Off",-0.00620833333333334
172029,"Clean Paid Off","w60d_payment_gap","Sold",-0.005
172029,"Clean Paid Off","w60d_payment_gap","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_payment_count","Clean Paid Off",0
172029,"Clean Paid Off","w60d_payment_count","Paid Off After Delinquency",0
172029,"Clean Paid Off","w60d_payment_count","Written Off",0
172029,"Clean Paid Off","w60d_payment_count","Sold",0
172029,"Clean Paid Off","w60d_payment_count","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_principal_paid","Clean Paid Off",-0.0145416666666667
172029,"Clean Paid Off","w60d_principal_paid","Paid Off After Delinquency",0.0145833333333333
172029,"Clean Paid Off","w60d_principal_paid","Written Off",0
172029,"Clean Paid Off","w60d_principal_paid","Sold",-4.16666666666667e-05
172029,"Clean Paid Off","w60d_principal_paid","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_payment_total","Clean Paid Off",-0.001875
172029,"Clean Paid Off","w60d_payment_total","Paid Off After Delinquency",0.00187500000000001
172029,"Clean Paid Off","w60d_payment_total","Written Off",0
172029,"Clean Paid Off","w60d_payment_total","Sold",0
172029,"Clean Paid Off","w60d_payment_total","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_admin_fee_paid","Clean Paid Off",0.00845833333333334
172029,"Clean Paid Off","w60d_admin_fee_paid","Paid Off After Delinquency",-0.0115833333333333
172029,"Clean Paid Off","w60d_admin_fee_paid","Written Off",0.000625
172029,"Clean Paid Off","w60d_admin_fee_paid","Sold",0.0025
172029,"Clean Paid Off","w60d_admin_fee_paid","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_interest_paid","Clean Paid Off",-0.00741666666666667
172029,"Clean Paid Off","w60d_interest_paid","Paid Off After Delinquency",0.005625
172029,"Clean Paid Off","w60d_interest_paid","Written Off",-0.000791666666666667
172029,"Clean Paid Off","w60d_interest_paid","Sold",0.00258333333333333
172029,"Clean Paid Off","w60d_interest_paid","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_total_paid_to_due_ratio","Clean Paid Off",-0.0230416666666667
172029,"Clean Paid Off","w60d_total_paid_to_due_ratio","Paid Off After Delinquency",0.0251666666666667
